,MATCH,DATE,PT_DIFF,HOME,AWAY
847,Toledo vs. Drexel,2006-11-29,5.0,Toledo,Drexel
848,Sacred Heart vs. Connecticut,2006-11-29,43.0,Sacred Heart,Connecticut
849,Delaware vs. Loyola-Maryland,2006-11-29,-12.0,Delaware,Loyola-Maryland
850,Southern Illinois vs. Louisiana Tech,2006-11-29,-14.0,Southern Illinois,Louisiana Tech
851,Charlotte vs. Mississippi St.,2006-11-29,-9.0,Charlotte,Mississippi St.
852,McNeese St. vs. Louisiana State,2006-11-29,34.0,McNeese St.,Louisiana State
853,Saint Louis vs. Loyola-Chicago,2006-11-29,-3.0,Saint Louis,Loyola-Chicago
854,Oakland vs. Cincinnati,2006-11-29,7.0,Oakland,Cincinnati
855,Iowa St. vs. Northern Iowa,2006-11-29,-13.0,Iowa St.,Northern Iowa
856,Nevada vs. Louisiana-Lafayette,2006-11-29,-12.0,Nevada,Louisiana-Lafayette
857,UMKC vs. Wichita St.,2006-11-29,-30.0,UMKC,Wichita St.
858,Sacramento State vs. Illinois St.,2006-11-29,17.0,Sacramento State,Illinois St.
859,Alcorn St. vs. Texas State,2006-11-29,-6.0,Alcorn St.,Texas State
860,Maine vs. Mount St. Mary's,2006-11-29,3.0,Maine,Mount St. Mary's
861,Bradley vs. Tennessee Tech,2006-11-29,-2.0,Bradley,Tennessee Tech
862,Brigham Young vs. Boise St.,2006-11-29,4.0,Brigham Young,Boise St.
863,Clemson vs. Minnesota,2006-11-29,22.0,Clemson,Minnesota
864,Hawaii vs. Santa Clara,2006-11-29,-9.0,Hawaii,Santa Clara
865,San Diego vs. San Diego St.,2006-11-29,-3.0,San Diego,San Diego St.
866,Montana St. vs. Fresno St.,2006-11-29,39.0,Montana St.,Fresno St.
867,Portland vs. Washington St.,2006-11-29,-12.0,Portland,Washington St.
868,San Jose St. vs. St. Mary's,2006-11-29,-18.0,San Jose St.,St. Mary's
869,San Francisco vs. Pacific,2006-11-29,7.0,San Francisco,Pacific
870,Iowa vs. Virginia Tech,2006-11-29,-4.0,Iowa,Virginia Tech
871,Bucknell vs. St. Francis (PA),2006-11-29,4.0,Bucknell,St. Francis (PA)
872,Kent St. vs. Cleveland St.,2006-11-29,7.0,Kent St.,Cleveland St.
873,Wis.-Milwaukee vs. Central Michigan,2006-11-29,15.0,Wis.-Milwaukee,Central Michigan
874,Harvard vs. New Hampshire,2006-11-29,2.0,Harvard,New Hampshire
875,Niagara vs. St. Bonaventure,2006-11-29,11.0,Niagara,St. Bonaventure
876,Miami (OH) vs. Xavier,2006-11-29,-15.0,Miami (OH),Xavier
877,Eastern Michigan vs. Detroit,2006-11-29,20.0,Eastern Michigan,Detroit
878,Hofstra vs. Siena,2006-11-29,4.0,Hofstra,Siena
879,Old Dominion vs. Marist,2006-11-29,13.0,Old Dominion,Marist
880,Virginia vs. Purdue,2006-11-29,2.0,Virginia,Purdue
881,New Jersey Tech vs. American U.,2006-11-29,25.0,New Jersey Tech,American U.
882,Robert Morris vs. Pittsburgh,2006-11-29,14.0,Robert Morris,Pittsburgh
883,Texas Tech vs. Texas Christian,2006-11-29,-10.0,Texas Tech,Texas Christian
884,Texas A&M CC vs. Oklahoma St.,2006-11-29,22.0,Texas A&M CC,Oklahoma St.
885,Prairie View A&M vs. Houston,2006-11-29,47.0,Prairie View A&M,Houston
886,Grambling State vs. Baylor,2006-11-29,26.0,Grambling State,Baylor
887,Evansville vs. Tenn-Martin,2006-11-29,18.0,Evansville,Tenn-Martin
888,Arkansas St. vs. Memphis,2006-11-29,-26.0,Arkansas St.,Memphis
889,Utah St. vs. South Dakota State,2006-11-29,-6.0,Utah St.,South Dakota State
890,Arkansas-Pine Bluff vs. Creighton,2006-11-29,-35.0,Arkansas-Pine Bluff,Creighton
891,North Texas vs. Nebraska,2006-11-29,19.0,North Texas,Nebraska
892,Butler vs. Valparaiso,2006-11-29,13.0,Butler,Valparaiso
893,IUPU - Ft. Wayne vs. SE Missouri St.,2006-11-29,19.0,IUPU - Ft. Wayne,SE Missouri St.
894,Ohio St. vs. North Carolina,2006-11-29,9.0,Ohio St.,North Carolina
895,Utah Valley vs. Southern Utah,2006-11-29,8.0,Utah Valley,Southern Utah
896,Colorado St. vs. Denver,2006-11-29,8.0,Colorado St.,Denver
897,Chicago St. vs. Texas-El Paso,2006-11-29,4.0,Chicago St.,Texas-El Paso
898,Wake Forest vs. Air Force,2006-11-29,36.0,Wake Forest,Air Force
899,Loyola Marymount vs. UC Santa Barbara,2006-11-29,3.0,Loyola Marymount,UC Santa Barbara
900,Weber St. vs. Utah,2006-11-29,12.0,Weber St.,Utah
901,Idaho vs. Washington,2006-11-29,-21.0,Idaho,Washington
902,Kansas St. vs. California,2006-11-29,30.0,Kansas St.,California
903,LIU Brooklyn vs. Hartford,2006-11-30,15.0,LIU Brooklyn,Hartford
904,New Orleans vs. Mississippi,2006-11-30,8.0,New Orleans,Mississippi
905,Manhattan vs. Fordham,2006-11-30,4.0,Manhattan,Fordham
906,Monmouth-NJ vs. Rider,2006-11-30,1.0,Monmouth-NJ,Rider
907,East Tennessee St. vs. Mercer,2006-11-30,6.0,East Tennessee St.,Mercer
908,Arkansas-Little Rock vs. Centenary,2006-11-30,-10.0,Arkansas-Little Rock,Centenary
909,Sam Houston St. vs. Southern Mississippi,2006-11-30,-8.0,Sam Houston St.,Southern Mississippi
910,Alabama St. vs. Missouri St.,2006-11-30,-40.0,Alabama St.,Missouri St.
911,Arkansas vs. Missouri,2006-11-30,-22.0,Arkansas,Missouri
912,Villanova vs. Stony Brook,2006-11-30,-28.0,Villanova,Stony Brook
913,Savannah State vs. Georgia St,2006-11-30,10.0,Savannah State,Georgia St
914,NC-Greensboro vs. Hampton,2006-11-30,7.0,NC-Greensboro,Hampton
915,Charleston vs. Charleston Southern,2006-11-30,-4.0,Charleston,Charleston Southern
916,Louisiana-Monroe vs. Auburn,2006-11-30,21.0,Louisiana-Monroe,Auburn
917,Indiana St. vs. Middle Tennessee St.,2006-11-30,-7.0,Indiana St.,Middle Tennessee St.
918,Portland St. vs. Gonzaga,2006-11-30,18.0,Portland St.,Gonzaga
919,Kennesaw St. vs. Stetson,2006-11-30,-5.0,Kennesaw St.,Stetson
920,North Florida vs. Belmont,2006-11-30,55.0,North Florida,Belmont
921,Jacksonville vs. Lipscomb,2006-11-30,-12.0,Jacksonville,Lipscomb
922,Stephen F. Austin vs. Southern,2006-12-01,-9.0,Stephen F. Austin,Southern
923,North Dakota State vs. Princeton,2006-12-01,7.0,North Dakota State,Princeton
924,Elon University vs. Davidson,2006-12-01,25.0,Elon University,Davidson
925,Maine vs. New Jersey Tech,2006-12-01,10.0,Maine,New Jersey Tech
926,Murray St. vs. Tennessee,2006-12-01,-25.0,Murray St.,Tennessee
927,San Francisco vs. Southeastern Louisiana,2006-12-01,15.0,San Francisco,Southeastern Louisiana
928,Lamar vs. Tulsa,2006-12-01,-14.0,Lamar,Tulsa
929,Northwestern St. vs. Marquette,2006-12-01,16.0,Northwestern St.,Marquette
930,Chicago St. vs. New Mexico St.,2006-12-01,-6.0,Chicago St.,New Mexico St.
931,VMI vs. Cornell,2006-12-01,5.0,VMI,Cornell
932,Coppin St. vs. La Salle,2006-12-01,1.0,Coppin St.,La Salle
933,Navy vs. Longwood,2006-12-01,-2.0,Navy,Longwood
934,Vermont vs. Towson,2006-12-01,13.0,Vermont,Towson
935,MD Baltimore Cty vs. St. John's,2006-12-01,-21.0,MD Baltimore Cty,St. John's
936,Alabama St. vs. Santa Clara,2006-12-01,-26.0,Alabama St.,Santa Clara
937,Jacksonville St. vs. William & Mary,2006-12-01,-3.0,Jacksonville St.,William & Mary
938,Texas-Pan American vs. Iowa,2006-12-01,16.0,Texas-Pan American,Iowa
939,Long Beach St. vs. Temple,2006-12-02,-25.0,Long Beach St.,Temple
940,Kentucky vs. North Carolina,2006-12-02,-12.0,Kentucky,North Carolina
941,St. Mary's vs. Seton Hall,2006-12-02,11.0,St. Mary's,Seton Hall
942,Arizona St. vs. Minnesota,2006-12-02,-3.0,Arizona St.,Minnesota
943,Clemson vs. South Carolina,2006-12-02,21.0,Clemson,South Carolina
944,Manhattan vs. Memphis,2006-12-02,-18.0,Manhattan,Memphis
945,Army vs. Citadel,2006-12-02,8.0,Army,Citadel
946,Texas Christian vs. Oklahoma,2006-12-02,28.0,Texas Christian,Oklahoma
947,Marshall vs. Ohio,2006-12-02,-6.0,Marshall,Ohio
948,Florida International vs. Wisconsin,2006-12-02,-16.0,Florida International,Wisconsin
949,Kansas vs. DePaul,2006-12-02,7.0,Kansas,DePaul
950,IUPU - Ft. Wayne vs. Air Force,2006-12-02,12.0,IUPU - Ft. Wayne,Air Force
951,Harvard vs. Colgate,2006-12-02,-12.0,Harvard,Colgate
952,San Diego St. vs. Western Michigan,2006-12-02,-11.0,San Diego St.,Western Michigan
953,Troy vs. Bowling Green,2006-12-02,2.0,Troy,Bowling Green
954,Drexel vs. St. Joseph's,2006-12-02,16.0,Drexel,St. Joseph's
955,Jacksonville vs. Belmont,2006-12-02,14.0,Jacksonville,Belmont
956,Hampton vs. Howard,2006-12-02,-11.0,Hampton,Howard
957,Louisiana State vs. Tulane,2006-12-02,7.0,Louisiana State,Tulane
958,Texas A&M CC vs. Mississippi St.,2006-12-02,24.0,Texas A&M CC,Mississippi St.
959,Detroit vs. Wright St.,2006-12-02,-1.0,Detroit,Wright St.
960,Saint Louis vs. Southern Illinois,2006-12-02,-9.0,Saint Louis,Southern Illinois
961,Wis.-Green Bay vs. Loyola-Chicago,2006-12-02,19.0,Wis.-Green Bay,Loyola-Chicago
962,UAB vs. Cincinnati,2006-12-02,-2.0,UAB,Cincinnati
963,Mississippi Valley State vs. McNeese St.,2006-12-02,17.0,Mississippi Valley State,McNeese St.
964,Wis.-Milwaukee vs. Oakland,2006-12-02,6.0,Wis.-Milwaukee,Oakland
965,Georgia St vs. Hofstra,2006-12-02,-3.0,Georgia St,Hofstra
966,Bethune-Cookman vs. Florida A&M,2006-12-02,-10.0,Bethune-Cookman,Florida A&M
967,Valparaiso vs. Ohio St.,2006-12-02,20.0,Valparaiso,Ohio St.
968,Georgia vs. Wake Forest,2006-12-02,1.0,Georgia,Wake Forest
969,Fresno St. vs. Oregon St.,2006-12-02,5.0,Fresno St.,Oregon St.
970,Illinois vs. Arizona,2006-12-02,12.0,Illinois,Arizona
971,No.Carolina A&T vs. South Carolina State,2006-12-02,-11.0,No.Carolina A&T,South Carolina State
972,VMI vs. Jacksonville St.,2006-12-02,2.0,VMI,Jacksonville St.
973,Northwestern St. vs. Princeton,2006-12-02,-2.0,Northwestern St.,Princeton
974,Boston U vs. St. Bonaventure,2006-12-02,28.0,Boston U,St. Bonaventure
975,Canisius vs. Fairleigh Dickinson,2006-12-02,-2.0,Canisius,Fairleigh Dickinson
976,Georgetown vs. Duke,2006-12-02,9.0,Georgetown,Duke
977,Central Conn. St. vs. Lehigh,2006-12-02,-3.0,Central Conn. St.,Lehigh
978,Wichita St. vs. Syracuse,2006-12-02,-3.0,Wichita St.,Syracuse
979,Albany vs. Siena,2006-12-02,-1.0,Albany,Siena
980,Marist vs. Richmond,2006-12-02,7.0,Marist,Richmond
981,Georgia Southern vs. Winston-Salem,2006-12-02,10.0,Georgia Southern,Winston-Salem
982,East Tennessee St. vs. Stetson,2006-12-02,14.0,East Tennessee St.,Stetson
983,Cleveland St. vs. Butler,2006-12-02,25.0,Cleveland St.,Butler
984,Southeastern Louisiana vs. Chicago St.,2006-12-02,-15.0,Southeastern Louisiana,Chicago St.
985,Charlotte vs. Indiana,2006-12-02,-17.0,Charlotte,Indiana
986,Santa Clara vs. Missouri St.,2006-12-02,27.0,Santa Clara,Missouri St.
987,Akron vs. Oral Roberts,2006-12-02,2.0,Akron,Oral Roberts
988,Cornell vs. William & Mary,2006-12-02,-5.0,Cornell,William & Mary
989,Tenn-Martin vs. SE Missouri St.,2006-12-02,2.0,Tenn-Martin,SE Missouri St.
990,Arkansas St. vs. Eastern Illinois,2006-12-02,-3.0,Arkansas St.,Eastern Illinois
991,Wyoming vs. Montana St.,2006-12-02,-11.0,Wyoming,Montana St.
992,Washington St. vs. Utah,2006-12-02,14.0,Washington St.,Utah
993,Loyola Marymount vs. Southern California,2006-12-02,-17.0,Loyola Marymount,Southern California
994,Brigham Young vs. Weber St.,2006-12-02,4.0,Brigham Young,Weber St.
995,Louisiana Tech vs. Louisiana-Lafayette,2006-12-02,-5.0,Louisiana Tech,Louisiana-Lafayette
996,Utah Valley vs. Portland St.,2006-12-02,2.0,Utah Valley,Portland St.
997,Jackson State vs. UC Davis,2006-12-02,-8.0,Jackson State,UC Davis
998,James Madison vs. Old Dominion,2006-12-02,-13.0,James Madison,Old Dominion
999,Western Carolina vs. Xavier,2006-12-02,-34.0,Western Carolina,Xavier
1000,Rider vs. Binghamton,2006-12-02,-14.0,Rider,Binghamton
1001,NC-Wilmington vs. Northeastern,2006-12-02,-7.0,NC-Wilmington,Northeastern
1002,Northern Iowa vs. Bucknell,2006-12-02,-9.0,Northern Iowa,Bucknell
1003,UMKC vs. Arkansas,2006-12-02,10.0,UMKC,Arkansas
1004,Lafayette vs. St. Peter's,2006-12-02,3.0,Lafayette,St. Peter's
1005,Yale vs. Wagner,2006-12-02,7.0,Yale,Wagner
1006,Sacred Heart vs. Columbia,2006-12-02,5.0,Sacred Heart,Columbia
1007,Norfolk State vs. Florida Atlantic,2006-12-02,13.0,Norfolk State,Florida Atlantic
1008,Rhode Island vs. Providence,2006-12-02,29.0,Rhode Island,Providence
1009,Mount St. Mary's vs. Loyola-Maryland,2006-12-02,17.0,Mount St. Mary's,Loyola-Maryland
1010,Wofford vs. Michigan,2006-12-02,34.0,Wofford,Michigan
1011,Delaware State vs. Purdue,2006-12-02,-22.0,Delaware State,Purdue
1012,San Diego vs. Central Michigan,2006-12-02,-1.0,San Diego,Central Michigan
1013,Indiana St. vs. Ball St.,2006-12-02,3.0,Indiana St.,Ball St.
1014,Youngstown St. vs. Illinois-Chicago,2006-12-02,16.0,Youngstown St.,Illinois-Chicago
1015,Pacific vs. Texas A&M,2006-12-02,-12.0,Pacific,Texas A&M
1016,Nicholls State vs. Centenary,2006-12-02,13.0,Nicholls State,Centenary
1017,Winthrop vs. Northern Illinois,2006-12-02,-10.0,Winthrop,Northern Illinois
1018,Texas vs. Gonzaga,2006-12-02,10.0,Texas,Gonzaga
1019,Tennessee St. vs. Alabama,2006-12-02,18.0,Tennessee St.,Alabama
1020,New Hampshire vs. LIU Brooklyn,2006-12-02,8.0,New Hampshire,LIU Brooklyn
1021,Pepperdine vs. Oklahoma St.,2006-12-02,16.0,Pepperdine,Oklahoma St.
1022,Texas State vs. Baylor,2006-12-02,25.0,Texas State,Baylor
1023,Morgan St. vs. Penn St.,2006-12-02,-9.0,Morgan St.,Penn St.
1024,N.C. Asheville vs. Furman,2006-12-02,-8.0,N.C. Asheville,Furman
1025,Nebraska vs. Rutgers,2006-12-02,-2.0,Nebraska,Rutgers
1026,Kennesaw St. vs. Mercer,2006-12-02,-7.0,Kennesaw St.,Mercer
1027,North Florida vs. Lipscomb,2006-12-02,14.0,North Florida,Lipscomb
1028,Savannah State vs. Southern Mississippi,2006-12-02,-16.0,Savannah State,Southern Mississippi
1029,Kansas St. vs. Colorado St.,2006-12-02,1.0,Kansas St.,Colorado St.
1030,Appalachian St. vs. Charleston,2006-12-02,9.0,Appalachian St.,Charleston
1031,Northern Arizona vs. UNLV,2006-12-02,-40.0,Northern Arizona,UNLV
1032,Texas-Pan American vs. La Salle,2006-12-02,1.0,Texas-Pan American,La Salle
1033,St. Francis (NY) vs. Fairfield,2006-12-02,4.0,St. Francis (NY),Fairfield
1034,Duquesne vs. Robert Morris,2006-12-02,-1.0,Duquesne,Robert Morris
1035,Villanova vs. Pennsylvania,2006-12-02,-10.0,Villanova,Pennsylvania
1036,Quinnipiac vs. Brown,2006-12-02,6.0,Quinnipiac,Brown
1037,Niagara vs. Buffalo,2006-12-02,12.0,Niagara,Buffalo
1038,East Carolina vs. Liberty,2006-12-02,-8.0,East Carolina,Liberty
1039,Holy Cross vs. Dayton,2006-12-02,16.0,Holy Cross,Dayton
1040,Sacramento State vs. Louisville,2006-12-02,30.0,Sacramento State,Louisville
1041,Boston College vs. Massachusetts,2006-12-02,11.0,Boston College,Massachusetts
1042,Houston vs. VCU,2006-12-02,-18.0,Houston,VCU
1043,Toledo vs. Vanderbilt,2006-12-02,-5.0,Toledo,Vanderbilt
1044,Eastern Kentucky vs. Western Kentucky,2006-12-02,-23.0,Eastern Kentucky,Western Kentucky
1045,Sam Houston St. vs. Alcorn St.,2006-12-02,-3.0,Sam Houston St.,Alcorn St.
1046,Morehead St. vs. Western Illinois,2006-12-02,1.0,Morehead St.,Western Illinois
1047,Samford vs. South Alabama,2006-12-02,-5.0,Samford,South Alabama
1048,Texas-Arlington vs. Illinois St.,2006-12-02,25.0,Texas-Arlington,Illinois St.
1049,Tennessee Tech vs. Austin Peay,2006-12-02,7.0,Tennessee Tech,Austin Peay
1050,North Dakota State vs. Marquette,2006-12-02,-4.0,North Dakota State,Marquette
1051,Northern Colorado vs. Colorado,2006-12-02,2.0,Northern Colorado,Colorado
1052,Coppin St. vs. Iowa,2006-12-02,-16.0,Coppin St.,Iowa
1053,Idaho State vs. Utah St.,2006-12-02,-37.0,Idaho State,Utah St.
1054,Texas-San Antonio vs. Cal St. Fullerton,2006-12-02,9.0,Texas-San Antonio,Cal St. Fullerton
1055,UC Santa Barbara vs. Portland,2006-12-02,-8.0,UC Santa Barbara,Portland
1056,San Francisco vs. New Mexico St.,2006-12-02,11.0,San Francisco,New Mexico St.
1057,Southern Utah vs. Idaho,2006-12-02,-22.0,Southern Utah,Idaho
1058,Bradley vs. Michigan St,2006-12-03,-29.0,Bradley,Michigan St
1059,Vermont vs. Delaware,2006-12-03,-2.0,Vermont,Delaware
1060,Iona vs. Fordham,2006-12-03,16.0,Iona,Fordham
1061,Drake vs. Iowa St.,2006-12-03,2.0,Drake,Iowa St.
1062,South Dakota State vs. Denver,2006-12-03,-11.0,South Dakota State,Denver
1063,N.C. State vs. Virginia,2006-12-03,3.0,N.C. State,Virginia
1064,Boise St. vs. Montana,2006-12-03,-4.0,Boise St.,Montana
1065,Cal Poly SLO vs. San Jose St.,2006-12-03,-17.0,Cal Poly SLO,San Jose St.
1066,Georgia Tech vs. Miami-Florida,2006-12-03,-8.0,Georgia Tech,Miami-Florida
1067,Notre Dame vs. Maryland,2006-12-03,-7.0,Notre Dame,Maryland
1068,Florida vs. Florida St.,2006-12-03,-4.0,Florida,Florida St.
1069,Nevada vs. California,2006-12-03,-6.0,Nevada,California
1070,Evansville vs. Missouri,2006-12-03,-19.0,Evansville,Missouri
1071,Bucknell vs. George Mason,2006-12-03,3.0,Bucknell,George Mason
1072,Texas Southern vs. Connecticut,2006-12-03,51.0,Texas Southern,Connecticut
1073,Pittsburgh vs. Auburn,2006-12-03,-8.0,Pittsburgh,Auburn
1074,New Mexico vs. Texas-El Paso,2006-12-03,-24.0,New Mexico,Texas-El Paso
1075,Virginia Tech vs. George Washington,2006-12-03,1.0,Virginia Tech,George Washington
1076,Long Beach St. vs. MD Baltimore Cty,2006-12-03,4.0,Long Beach St.,MD Baltimore Cty
1077,UC Riverside vs. UCLA,2006-12-03,-23.0,UC Riverside,UCLA
1078,Texas Tech vs. Stanford,2006-12-03,11.0,Texas Tech,Stanford
1079,Eastern Washington vs. CSU Northridge,2006-12-03,4.0,Eastern Washington,CSU Northridge
1080,St. Francis (PA) vs. Liberty,2006-12-04,17.0,St. Francis (PA),Liberty
1081,Davidson vs. NC-Greensboro,2006-12-04,3.0,Davidson,NC-Greensboro
1082,Yale vs. Sacred Heart,2006-12-04,10.0,Yale,Sacred Heart
1083,Charleston Southern vs. Mercer,2006-12-04,-19.0,Charleston Southern,Mercer
1084,Longwood vs. American U.,2006-12-04,11.0,Longwood,American U.
1085,Howard vs. Navy,2006-12-04,-4.0,Howard,Navy
1086,Indiana - Purdue vs. Belmont,2006-12-04,10.0,Indiana - Purdue,Belmont
1087,Marshall vs. Memphis,2006-12-04,-40.0,Marshall,Memphis
1088,Lamar vs. Oral Roberts,2006-12-04,-25.0,Lamar,Oral Roberts
1089,N.C. Asheville vs. Charlotte,2006-12-04,8.0,N.C. Asheville,Charlotte
1090,Pepperdine vs. Colorado,2006-12-04,-6.0,Pepperdine,Colorado
1091,Southern California vs. Kansas,2006-12-04,10.0,Southern California,Kansas
1092,Lafayette vs. New Jersey Tech,2006-12-04,19.0,Lafayette,New Jersey Tech
1093,Elon University vs. High Point,2006-12-04,-14.0,Elon University,High Point
1094,Arkansas St. vs. Bowling Green,2006-12-04,-9.0,Arkansas St.,Bowling Green
1095,Appalachian St. vs. Citadel,2006-12-04,4.0,Appalachian St.,Citadel
1096,Fairfield vs. Providence,2006-12-04,-17.0,Fairfield,Providence
1097,Monmouth-NJ vs. Seton Hall,2006-12-04,-34.0,Monmouth-NJ,Seton Hall
1098,Winthrop vs. Wisconsin,2006-12-04,-3.0,Winthrop,Wisconsin
1099,Jackson State vs. Tulsa,2006-12-04,-25.0,Jackson State,Tulsa
1100,Tennessee St. vs. Middle Tennessee St.,2006-12-04,11.0,Tennessee St.,Middle Tennessee St.
1101,Texas-Arlington vs. Western Illinois,2006-12-04,-17.0,Texas-Arlington,Western Illinois
1102,Southern Utah vs. Washington,2006-12-04,-15.0,Southern Utah,Washington
1103,Richmond vs. South Florida,2006-12-05,10.0,Richmond,South Florida
1104,East Carolina vs. NC-Wilmington,2006-12-05,-15.0,East Carolina,NC-Wilmington
1105,Western Michigan vs. Temple,2006-12-05,5.0,Western Michigan,Temple
1106,Oklahoma St. vs. Syracuse,2006-12-05,4.0,Oklahoma St.,Syracuse
1107,Loyola-Chicago vs. Purdue,2006-12-05,-16.0,Loyola-Chicago,Purdue
1108,Hofstra vs. Stony Brook,2006-12-05,16.0,Hofstra,Stony Brook
1109,Detroit vs. Xavier,2006-12-05,-33.0,Detroit,Xavier
1110,Chattanooga vs. Kentucky,2006-12-05,-16.0,Chattanooga,Kentucky
1111,St. Francis (NY) vs. St. John's,2006-12-05,-17.0,St. Francis (NY),St. John's
1112,Fairleigh Dickinson vs. Drexel,2006-12-05,22.0,Fairleigh Dickinson,Drexel
1113,Illinois-Chicago vs. Northern Illinois,2006-12-05,23.0,Illinois-Chicago,Northern Illinois
1114,East Tennessee St. vs. Vanderbilt,2006-12-05,-42.0,East Tennessee St.,Vanderbilt
1115,Utah Valley vs. UMKC,2006-12-05,-12.0,Utah Valley,UMKC
1116,Towson vs. William & Mary,2006-12-05,13.0,Towson,William & Mary
1117,Central Michigan vs. Arkansas,2006-12-05,16.0,Central Michigan,Arkansas
1118,Wright St. vs. Bradley,2006-12-05,39.0,Wright St.,Bradley
1119,Miami (OH) vs. Illinois St.,2006-12-05,24.0,Miami (OH),Illinois St.
1120,Southern vs. Northwestern St.,2006-12-05,7.0,Southern,Northwestern St.
1121,Texas A&M vs. Louisiana State,2006-12-05,12.0,Texas A&M,Louisiana State
1122,Weber St. vs. Portland,2006-12-05,-16.0,Weber St.,Portland
1123,Gonzaga vs. Washington St.,2006-12-05,-10.0,Gonzaga,Washington St.
1124,UNLV vs. Hawaii,2006-12-05,-3.0,UNLV,Hawaii
1125,Oakland vs. Eastern Michigan,2006-12-05,-12.0,Oakland,Eastern Michigan
1126,Brown vs. Rhode Island,2006-12-05,-4.0,Brown,Rhode Island
1127,Wagner vs. Columbia,2006-12-05,26.0,Wagner,Columbia
1128,Gardner-Webb vs. Georgia,2006-12-05,-29.0,Gardner-Webb,Georgia
1129,Charleston vs. South Carolina,2006-12-05,-12.0,Charleston,South Carolina
1130,Florida St. vs. Stetson,2006-12-05,19.0,Florida St.,Stetson
1131,James Madison vs. Georgetown,2006-12-05,36.0,James Madison,Georgetown
1132,Maryland - E. Shore vs. George Washington,2006-12-05,23.0,Maryland - E. Shore,George Washington
1133,Wofford vs. Clemson,2006-12-05,24.0,Wofford,Clemson
1134,Delaware State vs. Marquette,2006-12-05,-17.0,Delaware State,Marquette
1135,McNeese St. vs. Arkansas-Little Rock,2006-12-05,-14.0,McNeese St.,Arkansas-Little Rock
1136,Minnesota vs. UAB,2006-12-05,-7.0,Minnesota,UAB
1137,Cleveland St. vs. Kansas St.,2006-12-05,-33.0,Cleveland St.,Kansas St.
1138,Northern Iowa vs. Iowa,2006-12-05,-2.0,Northern Iowa,Iowa
1139,Valparaiso vs. Evansville,2006-12-05,5.0,Valparaiso,Evansville
1140,San Francisco vs. Northern Arizona,2006-12-05,22.0,San Francisco,Northern Arizona
1141,New Mexico vs. New Mexico St.,2006-12-05,-31.0,New Mexico,New Mexico St.
1142,Arizona vs. Louisville,2006-12-05,7.0,Arizona,Louisville
1143,Cal St. Fullerton vs. UCLA,2006-12-05,-24.0,Cal St. Fullerton,UCLA
1144,Providence vs. Florida,2006-12-06,18.0,Providence,Florida
1145,Ohio vs. St. Bonaventure,2006-12-06,5.0,Ohio,St. Bonaventure
1146,Fairfield vs. Boston College,2006-12-06,23.0,Fairfield,Boston College
1147,Akron vs. Binghamton,2006-12-06,35.0,Akron,Binghamton
1148,Longwood vs. High Point,2006-12-06,2.0,Longwood,High Point
1149,Holy Cross vs. Duke,2006-12-06,12.0,Holy Cross,Duke
1150,N.C. State vs. West Virginia,2006-12-06,-16.0,N.C. State,West Virginia
1151,Villanova vs. Oklahoma,2006-12-06,-16.0,Villanova,Oklahoma
1152,VCU vs. Albany,2006-12-06,-18.0,VCU,Albany
1153,Lehigh vs. Princeton,2006-12-06,-1.0,Lehigh,Princeton
1154,Hartford vs. Penn St.,2006-12-06,-1.0,Hartford,Penn St.
1155,Fordham vs. Maryland,2006-12-06,-20.0,Fordham,Maryland
1156,Loyola Marymount vs. Sam Houston St.,2006-12-06,-15.0,Loyola Marymount,Sam Houston St.
1157,Massachusetts vs. Boston U,2006-12-06,-2.0,Massachusetts,Boston U
1158,Indiana - Purdue vs. Illinois,2006-12-06,28.0,Indiana - Purdue,Illinois
1159,Lamar vs. Rice,2006-12-06,-12.0,Lamar,Rice
1160,Denver vs. Wyoming,2006-12-06,-32.0,Denver,Wyoming
1161,Memphis vs. Tennessee,2006-12-06,-18.0,Memphis,Tennessee
1162,Western Kentucky vs. Montana,2006-12-06,-16.0,Western Kentucky,Montana
1163,Duquesne vs. Pittsburgh,2006-12-06,-17.0,Duquesne,Pittsburgh
1164,Montana St. vs. Boise St.,2006-12-06,25.0,Montana St.,Boise St.
1165,Idaho vs. Idaho State,2006-12-06,-21.0,Idaho,Idaho State
1166,Pacific vs. Sacramento State,2006-12-06,-2.0,Pacific,Sacramento State
1167,Ball St. vs. Butler,2006-12-06,-24.0,Ball St.,Butler
1168,Old Dominion vs. Virginia Tech,2006-12-06,-17.0,Old Dominion,Virginia Tech
1169,Niagara vs. Siena,2006-12-06,-12.0,Niagara,Siena
1170,American U. vs. Howard,2006-12-06,10.0,American U.,Howard
1171,IUPU - Ft. Wayne vs. Michigan St,2006-12-06,-37.0,IUPU - Ft. Wayne,Michigan St
1172,George Mason vs. Radford,2006-12-06,2.0,George Mason,Radford
1173,Western Illinois vs. Indiana,2006-12-06,52.0,Western Illinois,Indiana
1174,New Jersey Tech vs. Army,2006-12-06,20.0,New Jersey Tech,Army
1175,Delaware vs. Central Conn. St.,2006-12-06,3.0,Delaware,Central Conn. St.
1176,New Hampshire vs. Rutgers,2006-12-06,-7.0,New Hampshire,Rutgers
1177,Northeastern vs. Connecticut,2006-12-06,28.0,Northeastern,Connecticut
1178,Coppin St. vs. Morgan St.,2006-12-06,-4.0,Coppin St.,Morgan St.
