PLAYER,A,BLK,DEF,OFF,PF,PTS,STL,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS,TEAM,PER
Alexis Dargenton,27,33,91,49,70,145,11,33,140,7,27,54,132,30,47,557,Utah St.,22.60396952785892
Alioune Tew,0,13,25,25,31,34,3,16,50,0,0,12,41,10,18,203,Niagara,9.025750080464695
Alize Johnson,54,5,232,103,78,465,19,75,335,37,94,162,331,104,152,937,Missouri St.,21.465501613767934
Allante Holston,22,5,48,9,37,85,12,24,57,0,6,32,75,21,33,469,North Texas,11.642366624585465
Allonzo Trier,28,1,54,1,16,178,5,15,55,21,50,54,111,49,63,335,Arizona,13.259361218806312
Alonzo Campbell,2,3,4,1,7,8,0,2,5,0,0,4,10,0,0,31,Stony Brook,13.003228406135785
Alonzo Chatman,0,1,2,1,1,0,1,0,3,0,0,0,0,0,0,10,Morehead St.,28.247085306781084
Alonzo Walker,4,5,31,29,50,56,8,19,60,2,6,24,46,6,15,292,Kent St.,14.13552429411329
Alpha Diallo,34,5,66,29,66,154,25,35,95,6,33,48,123,52,69,614,Providence,18.67511626724566
Alterique Gilbert,6,0,9,1,2,31,7,4,10,2,9,11,22,7,10,87,Connecticut,33.7060198754686
Alvin Ellis III,35,9,73,16,59,203,21,39,89,40,97,63,149,37,52,547,Michigan St,25.17848984684176
Amadi Ikpeze,0,12,35,10,52,50,6,11,45,0,0,20,45,10,11,206,St. Bonaventure,15.063085547243237
Amadi Udenyi,25,0,9,2,5,23,6,10,11,5,11,8,23,2,6,126,Pepperdine,18.572750735557022
Amadou Sidibe,35,11,177,75,83,218,14,47,252,0,0,89,152,40,69,603,Fairfield,34.258307209977005
Amanze Egekeze,28,19,111,39,82,302,10,40,150,49,129,99,205,55,66,744,Belmont,30.446163109357485
Amar Alibegovic,15,9,30,9,39,42,4,14,39,5,21,16,39,5,11,231,St. John's,11.687020327565868
Amar Stukes,115,1,55,22,78,237,35,49,77,8,27,82,156,65,79,874,La Salle,25.483812577698554
Amari Hamilton,35,1,40,6,23,166,14,31,46,33,92,53,149,27,35,541,No.Carolina A&T,18.175763735745786
