PLAYER,A,BLK,DEF,OFF,PF,PTS,STL,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS,TEAM,PER
Kevin Hervey,58,10,201,36,53,457,29,52,237,46,145,156,337,99,126,746,Texas-Arlington,45.97608352692427
Kevin Holland,48,2,68,10,47,120,10,25,78,23,69,43,139,11,17,734,Southern Miss,9.140593126091424
Kevin Holmes Jr.,0,0,11,5,8,8,0,6,16,1,14,3,21,1,2,75,Coastal Carolina,-11.198565831071067
Kevin Huerter,76,21,130,17,48,255,26,42,147,57,149,92,219,14,22,848,Maryland,8.49517610337831
Kevin Johnson,42,4,49,20,52,259,44,35,69,46,140,92,234,29,36,855,Cincinnati,21.30723091282317
Kevin Kerley,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2,Appalachian St.,-23.158807374706992
Kevin Larkin,12,2,51,16,17,106,13,9,67,8,34,36,104,26,28,256,Niagara,29.638081055423022
Kevin Marfo,4,7,36,28,31,62,7,21,64,0,0,16,44,30,56,205,George Washington,20.21835984811553
Kevin McClain,27,3,21,7,36,123,12,32,28,14,57,40,106,29,41,300,Belmont,18.359213099395905
Kevin McKay,0,0,8,7,12,21,3,1,15,0,0,5,11,11,20,82,Central Michigan,19.499016335188387
Kevin Mickle,7,8,35,26,42,31,2,16,61,0,1,13,31,5,5,307,Florida Gulf Coast,9.37234141558118
Kevin Morris,4,4,24,11,51,37,2,9,35,0,0,13,33,11,24,177,South Alabama,6.641429739833702
Kevin Ndahiro,0,7,19,10,33,23,1,12,29,0,0,7,16,9,15,127,Stetson,6.883472361706726
Kevin Puryear,24,9,121,52,69,312,11,51,173,13,49,114,278,71,99,841,Missouri,6.912833767707854
Kevin Scott,49,5,82,50,66,289,39,51,132,28,75,106,238,49,67,802,Texas Southern,27.698017586728888
Kevin Seymour,22,0,20,3,7,58,7,14,23,3,13,25,70,5,8,243,Central Conn. St.,12.56528247515015
Kevin Vannatta,107,2,125,13,70,269,37,52,138,30,97,96,221,47,66,988,N.C. Asheville,22.62335325520304
Kevin Zabo,44,1,31,7,76,155,15,36,38,22,79,53,151,27,37,518,Kent St.,12.289546514621284
Kevon Harris,30,15,52,40,43,199,18,46,92,13,47,62,146,62,95,567,Stephen F. Austin,24.49801264540033
Kevon Tucker,4,0,3,0,5,7,5,5,3,1,5,1,11,4,4,56,Wofford,1.7242232614878772
Keyshawn Evans,58,1,36,8,42,183,20,37,44,47,119,63,150,10,20,569,Illinois St.,22.529695002079684
Keyshawn Woods,104,0,103,22,76,369,15,50,125,47,100,133,267,56,73,881,Wake Forest,30.408829114044515
Khadeem Lattin,13,59,106,69,102,235,33,39,175,0,0,84,163,67,92,680,Oklahoma,18.246831764136
Khadeen Carrington,92,9,71,17,58,494,35,66,88,54,146,169,392,102,144,958,Seton Hall,33.12830632457192
Khadim Gueye,2,5,13,8,38,7,2,9,21,0,0,1,9,5,6,185,South Carolina,-0.5560865290869051
Khadim Sy,6,19,55,26,41,119,3,22,81,1,1,51,88,16,27,334,Virginia Tech,27.814206778950687
Khadre Lane,0,0,1,3,10,27,3,4,4,3,10,6,25,12,16,67,Campbell,11.939686277765858
Khalen Cumberlander,58,5,95,25,81,383,36,83,120,38,105,151,326,43,98,980,Central Conn. St.,21.658490146741276
Khalid Campbell,2,0,3,3,6,4,0,3,6,0,8,2,11,0,0,56,Arkansas-Pine Bluff,-6.61548861472334
Khalid Nwandu,24,3,25,6,42,33,10,22,31,0,0,12,26,9,14,244,Mount St. Mary's,9.655951810904519
Khalil Ahmad,20,2,42,15,33,169,15,35,57,21,68,61,155,26,36,411,Cal St. Fullerton,20.60848412201923
Khalil Batie,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,7,Rutgers,22.482283718776795
Khalil Iverson,18,19,57,35,29,116,18,26,92,4,13,45,83,22,38,448,Wisconsin,28.731852678486078
Khalil Richard,22,2,30,12,32,107,6,25,42,10,23,42,85,13,15,372,Siena,17.739003273710775
Khalil Small,53,5,93,55,91,289,25,50,148,17,73,101,240,70,87,793,Green Bay,23.509294177126595
Khalil Spencer,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,Tennessee St.,-7.454439884426591
Khallid Hart,73,8,74,11,68,573,36,50,85,64,174,186,407,137,173,1135,Marist,34.56197505594704
Khari Harley,0,0,0,0,4,5,0,2,0,0,0,1,1,3,4,10,Ohio,4.518560969163146
Khari Holloway,8,0,8,1,10,66,5,12,9,7,17,19,44,21,22,160,Portland St.,22.740881826939003
Khari Price,21,0,11,4,18,44,4,12,15,5,22,13,44,13,14,161,Southern Miss,14.586689585160066
Khary Mauras,0,0,0,0,0,5,0,0,0,0,0,0,0,5,6,3,Old Dominion,153.08637378108028
Khiorie Stewart,0,0,1,0,0,2,1,0,1,0,1,1,2,0,0,9,Stephen F. Austin,25.887567641507314
Khris Lane,34,31,150,43,75,474,23,65,193,31,92,190,362,63,87,971,Longwood,34.97336617194378
Khwan Fore,69,11,87,32,88,318,48,55,119,12,36,124,251,58,96,968,Richmond,23.762053974519958
Khy Kabellis,73,3,67,7,57,302,32,64,74,46,123,98,250,60,90,916,North Dakota State,19.30640034221267
Khyan Rayner,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,18,Princeton,1.221682055569516
Khyri Thomas,95,12,123,46,44,359,43,49,169,37,94,138,267,46,63,894,Creighton,36.019799799206886
KiShawn Pritchett,41,7,37,16,29,93,10,32,53,15,48,32,84,14,27,394,Davidson,15.600869372409528
Kiefer Douse,89,4,107,41,88,365,29,63,148,36,88,130,257,69,95,926,Canisius,28.78705921319828
Kienan Walter,1,0,12,3,16,25,0,4,15,1,4,9,16,6,10,55,North Dakota,11.480493767119022
Kieran Hayward,7,3,18,9,31,32,4,4,27,9,28,10,42,3,5,202,Louisiana State,7.012699834264412
Kierell Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Niagara,0.0
Kijana Love,4,1,10,0,20,43,7,15,10,7,21,16,48,4,4,167,New Hampshire,4.188979832527492
Killian Tillie,16,8,59,22,50,118,22,17,81,11,23,42,80,23,29,319,Gonzaga,35.35770497071375
Kimani Jackson,6,8,21,16,24,46,0,13,37,1,5,16,41,13,18,160,Colorado St.,18.549832648880496
Kimar Williams,42,0,37,6,35,105,16,26,43,5,21,37,96,26,39,415,Florida International,17.530187468864884
Kimbal MacKenzie,77,2,56,12,70,367,38,50,68,55,136,121,258,70,86,945,Bucknell,27.78339120042718
King McClure,23,2,23,6,35,115,9,18,29,20,60,38,90,19,25,350,Baylor,21.03394972410208
Kingsley Okoroh,27,62,93,64,71,143,12,39,157,0,0,59,113,25,46,619,California,13.940551287526247
Kipper Nichols,1,5,38,16,39,89,6,14,54,10,20,34,70,11,18,244,Illinois,3.535162496593966
Kirkland Humphrey,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,5,Eastern Kentucky,-57.395330575698495
Klint Carlson,61,4,120,24,55,250,21,44,144,24,94,96,245,34,47,979,Northern Iowa,18.199542979894872
Knox Hellums,9,2,28,5,42,132,6,22,33,33,75,41,112,17,20,485,Pepperdine,11.61230996956858
Kobe Gantz,64,1,27,18,46,91,9,40,45,6,27,28,78,29,56,446,Delaware State,12.096506483331789
Kobe Paras,3,1,6,4,9,12,2,3,10,0,6,5,15,2,7,56,Creighton,8.243644753789459
Kobe Wilson,0,0,2,0,1,0,0,1,2,0,2,0,2,0,0,14,Alcorn St.,-16.352942274329134
Kobi Simmons,72,2,46,11,61,312,24,45,57,32,93,107,265,66,85,828,Arizona,7.44171983407935
Kobie Eubanks,2,1,8,6,7,16,0,8,14,2,20,7,26,0,5,110,Texas A&M,-2.0216339042689477
Koby McEwen,85,10,130,14,82,410,20,73,144,51,127,122,268,115,160,875,Utah St.,31.238228699005504
Koch Bar,10,37,107,61,59,193,16,40,168,0,0,74,143,45,76,681,Bradley,26.480107433038114
Kodi Justice,72,16,80,13,96,265,42,47,93,57,134,87,206,34,48,916,Arizona State,21.67428891782839
Kofi Andoh,25,2,48,19,42,83,16,30,67,0,9,24,68,35,48,441,Howard,13.467071764683132
Koh Flippin,11,2,17,4,24,65,6,7,21,15,36,19,49,12,16,185,UC Riverside,24.24116214365623
Koko Kurdoghlian,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,9,California,-2.8139432038751173
Konstantinos Mitoglou,28,19,123,49,66,265,16,45,172,25,76,84,198,72,87,724,Wake Forest,26.72611343603843
Kory Jones,0,1,0,0,0,3,0,0,0,1,1,1,1,0,0,6,Arizona,19.653742554059516
Kory Kuenstling,3,7,17,20,30,43,1,8,37,0,0,16,30,11,22,187,Drake,18.50679848685536
Kosta Jankovic,5,0,12,3,10,12,1,6,15,0,1,4,17,4,6,70,Kennesaw St.,1.300131671510612
Kris Acox,41,20,152,62,76,379,41,57,214,0,0,165,266,49,88,843,Furman,40.95616776314923
Kris Alford,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,Drexel,-18.57257369751685
Kris Clyburn,37,6,108,44,47,207,18,28,152,23,81,72,203,40,55,683,UNLV,20.767883981418656
Kris Jenkins,60,8,118,11,60,396,34,45,129,79,203,119,301,79,89,944,Villanova,31.11636361683065
Kris Martin,53,14,89,8,63,352,31,56,97,68,172,111,275,62,83,822,Oral Roberts,26.224813633270802
Kristian Doolittle,32,10,121,58,53,251,19,47,179,15,39,78,201,80,99,719,Oklahoma,13.583953543735506
Kristinn Palsson,43,5,75,7,57,136,13,36,82,32,108,42,128,20,26,751,Marist,10.354567621937257
Kuony Deng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VMI,0.0
Kuran Iverson,49,38,151,70,83,267,19,52,221,15,58,101,217,50,85,736,Rhode Island,32.80512511968756
Kurk Lee,150,0,97,24,86,470,50,93,121,56,141,168,407,78,115,1034,Drexel,28.323029411106567
Kurt Karis,0,0,0,1,5,6,0,3,1,0,0,2,3,2,2,23,Southern California,3.096307170685064
Kurt Steidl,39,19,117,15,62,250,26,19,132,53,135,79,191,39,48,906,Vermont,25.262814184801428
Kwan Cheatham Jr.,56,26,175,43,83,348,17,48,218,69,176,118,288,43,53,876,Akron,30.704668511774297
Kwe Askew,2,3,9,5,9,9,1,2,14,0,0,4,9,1,3,71,LIU Brooklyn,14.25081372988498
Kwe Parker,22,3,16,4,30,21,6,19,20,2,12,9,28,1,8,187,Tennessee,0.4467904699294557
Kwesi Abakah,9,6,16,15,27,9,2,6,31,0,0,3,7,3,11,191,Richmond,8.618784194767443
Ky Bowman,87,3,125,24,74,439,36,89,149,59,133,153,309,74,104,878,Boston College,32.49899277846696
Ky Feldman,2,0,1,1,0,5,0,0,2,1,5,2,6,0,0,14,Syracuse,27.388168138716157
Ky're Allison,16,1,13,3,39,54,6,17,16,10,30,20,50,4,5,179,Marshall,10.018789790923867
Kylan Phillips,49,1,44,6,43,97,25,30,50,13,48,34,112,16,26,607,Mississippi Valley State,9.422724204946471
Kyle Ahrens,7,0,31,5,41,76,1,8,36,12,40,26,61,12,16,240,Michigan St,15.449995158287502
Kyle Alexander,6,29,69,55,51,98,4,15,124,0,3,38,81,22,44,418,Tennessee,5.230542492819245
Kyle Allman,54,7,46,10,52,244,17,64,56,9,37,78,197,79,113,732,Cal St. Fullerton,15.575294919603104
Kyle Benton,7,23,93,64,47,171,17,19,157,0,0,71,106,29,66,565,North Carolina Central,34.47423096380169
Kyle Broekhuis,4,3,12,5,9,6,1,7,17,0,3,2,15,2,2,78,Air Force,-1.614926064356286
Kyle Brown,8,0,3,5,13,13,6,18,8,1,6,3,13,6,9,124,Cornell,-2.4989806161244483
Kyle Brown,8,0,3,5,13,13,6,18,8,1,6,3,13,6,9,124,Texas A&M CC,-2.4989806161244483
Kyle Carey,3,1,20,5,21,34,2,12,25,3,16,12,44,7,14,155,Northern Colorado,-0.5262884604716235
Kyle Clark,11,3,27,17,29,80,7,15,44,16,44,25,59,14,17,307,St. Mary's,9.569773905598414
Kyle Clarke,73,3,35,15,65,146,20,66,50,0,3,61,145,24,33,636,Kennesaw St.,10.153877340615114
Kyle Davis,75,18,122,21,83,300,47,41,143,22,54,108,190,62,93,887,Dayton,32.085702629079535
Kyle Davis,75,18,122,21,83,300,47,41,143,22,54,108,190,62,93,887,Brigham Young,32.085702629079535
Kyle Foreman,133,3,56,14,54,199,57,77,70,15,56,66,176,52,66,760,Boston U,22.52803712026583
Kyle Guice,26,6,58,7,44,127,6,17,65,39,92,41,96,6,9,455,Illinois-Chicago,19.318625633910703
Kyle Guy,37,1,42,4,29,225,12,16,46,44,87,79,171,23,33,516,Virginia,10.447304187563946
Kyle Haber,1,1,0,0,1,8,1,0,0,0,2,3,7,2,5,21,Brown,23.020037307171144
Kyle Kuzma,60,10,158,68,39,380,15,52,226,19,65,144,291,73,110,739,Utah,10.289093510548911
Kyle Leufroy,62,4,76,10,47,309,38,56,86,46,112,109,241,45,52,777,Lehigh,27.61006064504463
Kyle Mallers,15,6,34,17,34,60,7,12,51,14,41,17,59,12,16,324,Ball St.,12.846906968667883
Kyle Massie,0,0,0,1,0,0,0,0,1,0,5,0,6,0,1,11,Texas-San Antonio,-38.21248547360332
Kyle Meyer,14,11,51,49,68,68,6,16,100,2,13,27,58,12,25,462,Houston,5.881171156833429
Kyle Nugent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Texas A&M,0.0
Kyle Rhoades,6,2,25,18,27,52,7,18,43,4,8,18,40,12,17,184,Western Carolina,19.371287485756742
Kyle Steward,30,12,99,45,76,286,20,41,144,31,91,100,238,55,87,721,UMKC,24.73655259027179
Kyle Stout,33,9,93,17,62,181,11,34,110,38,119,61,169,21,32,776,Lafayette,6.685915469872423
Kyle Thomas,26,9,97,26,49,273,17,40,123,32,119,98,280,45,67,751,Morgan St.,17.64185658281596
Kyle Thompson,1,0,2,1,0,1,0,2,3,0,0,0,2,1,4,12,St. Joseph's,-15.263158092180985
Kyle Toth,25,2,57,11,32,258,13,10,68,59,137,93,214,13,17,727,Cal Poly SLO,26.1503885870697
Kyle Washington,30,38,143,68,73,404,11,50,211,15,36,162,317,65,96,755,Cincinnati,41.53015663843608
Kyle Williams,22,2,46,12,31,151,12,27,58,30,95,52,153,17,24,493,Norfolk State,14.744296202954722
Kyle de Laveaga,14,0,15,4,25,84,7,16,19,26,70,28,78,2,5,326,Northern Arizona,11.130036108263111
Kyler Erickson,4,0,9,1,5,13,1,3,10,0,2,5,13,3,4,67,Nebraska Omaha,10.366264662801765
Kyndahl Hill,31,38,130,54,80,261,18,44,184,0,4,89,174,83,107,794,Weber St.,30.583702740797307
Kyran McClure,4,0,2,0,3,4,4,1,2,1,5,1,6,1,3,20,Navy,24.958035179659234
Kyre' Hamer,48,6,62,8,52,217,26,52,70,17,33,77,142,46,57,658,Campbell,25.696199453770667
Kyren Block,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,Houston Baptist,-9.180491980673189
Kyrin Galloway,4,12,27,16,18,51,3,4,43,0,1,19,27,13,15,179,NC-Greensboro,36.86289876474759
Kyron Cartwright,204,1,89,12,56,343,32,83,101,29,73,123,292,68,94,993,Providence,27.809357336771903
L'Hassane Niangane,12,28,47,56,88,59,6,27,103,0,0,20,48,19,35,430,Gardner-Webb,14.615993756946382
L.G. Gill,7,5,37,25,48,94,4,10,62,3,8,31,72,29,46,367,Maryland,5.7703391835724585
L.J Westbrook,5,0,19,3,14,41,6,9,22,2,11,12,34,15,22,144,Prairie View A&M,15.071605452759384
L.J. Peak,106,12,88,31,81,493,32,82,119,33,97,158,332,144,178,1013,Georgetown,33.446886732721985
L.J. Rose,117,2,101,15,35,138,22,42,116,16,56,41,116,40,47,652,Brigham Young,21.548843582327567
L.J. Singleton,1,1,2,1,2,5,1,1,3,1,3,2,6,0,0,25,Mississippi St.,14.635795137432499
LaBarrius Hill,9,24,49,24,69,82,4,27,73,0,0,29,59,24,36,414,McNeese St.,14.138046379417407
LaDarien Griffin,17,12,38,23,46,73,19,20,61,1,4,28,53,16,30,343,St. Bonaventure,21.4600484968484
LaQuan Wiltshire,3,0,5,3,5,6,3,2,8,1,1,1,3,3,5,48,Alabama A&M,19.142245099608793
LaQuentin Collins,13,3,30,13,15,87,6,15,43,11,30,32,85,12,15,316,Southern,1.806969473826886
LaRon Smith,5,21,26,28,53,61,6,14,54,0,0,23,44,15,27,267,Auburn,20.200027394644223
LaRond Williams,3,14,25,13,51,26,5,16,38,0,0,8,27,10,16,170,Long Beach St.,6.019503486081494
LaVell Boyd,102,1,96,15,73,486,28,71,111,66,169,146,358,128,155,844,UMKC,35.0501349520635
LaVone Holland II,115,6,67,15,61,416,38,88,82,48,126,137,315,94,143,909,Northern Kentucky,28.582158045566942
Lachlan Anderson,1,0,2,3,3,4,0,1,5,0,5,2,11,0,0,28,Eastern Kentucky,-6.407489470026739
Lafayette Rutledge,5,0,18,2,24,190,5,12,20,51,136,56,146,27,33,379,Nicholls State,24.76949298592063
Lagerald Vick,27,12,70,28,50,219,16,34,98,30,76,80,173,29,34,710,Kansas,11.555735544997935
Lamar Peters,93,5,51,11,77,301,30,64,62,55,151,95,245,56,75,682,Mississippi St.,27.041184996234
Lamar Stevens,49,19,122,50,83,378,23,65,172,8,27,133,307,104,137,822,Penn St.,28.39858307114521
Lamar Wofford-Humphrey,0,4,16,12,28,25,2,6,28,1,7,10,24,4,6,134,Eastern Michigan,11.472674244523178
Lamarr Kimble,107,3,82,15,39,372,20,79,97,40,125,127,351,78,112,897,St. Joseph's,21.220336383378665
Lamond Murray Jr.,36,10,134,35,61,634,34,80,169,48,131,240,513,106,134,1033,Pepperdine,36.459340862944984
Lamont Walker,7,0,50,19,39,69,7,12,69,1,12,25,57,18,27,282,Texas Southern,18.352681600145992
Lamont West,15,8,40,22,53,186,9,11,62,32,89,59,145,36,46,387,West Virginia,30.99740522396702
Lamonte Turner,80,6,62,8,60,241,19,51,70,39,114,68,191,66,86,591,Tennessee,5.160204704654746
Lamontray Harris,32,17,95,37,81,257,8,54,132,16,58,97,222,47,57,531,Morehead St.,27.06879040298599
Lance Potier,23,10,119,30,75,156,8,34,149,14,41,64,132,14,24,582,McNeese St.,19.650484093242863
Lance Richard,0,0,1,0,0,6,0,0,1,2,3,2,3,0,0,6,Louisiana-Monroe,87.12106211558759
Lance Whitaker,6,0,6,2,11,7,2,1,8,1,8,2,11,2,3,68,Illinois-Chicago,6.102029680122485
Landen Lucas,29,29,151,89,99,222,16,49,240,0,0,88,138,46,76,728,Kansas,16.752992917065985
Landon Fuller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Alabama,0.0
Landon Russell,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,Yale,-61.04260749636446
Landry Shamet,104,4,70,17,64,350,23,32,87,63,141,115,239,57,69,805,Wichita St.,35.45338684618426
Lane Below,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,9,Mississippi,2.5656982115869447
Lane Severyn,12,3,31,16,45,56,12,7,47,13,46,20,56,3,9,288,South Dakota State,15.745632385740253
Laquarious Paige,45,13,61,5,68,177,21,57,66,20,55,68,146,21,24,622,Indiana St.,16.14613619391141
Laquincy Rideau,144,9,125,41,96,439,90,110,166,27,72,147,318,118,201,887,Gardner-Webb,39.07782700255089
Larenz Stalcup,6,9,21,9,29,26,2,9,30,0,0,8,30,10,12,126,Louisiana-Lafayette,10.730532761960431
Larry Bush,1,0,1,0,6,8,0,1,1,2,6,2,10,2,4,38,UNLV,-3.2967076831597026
Larry Dennis,3,23,59,24,86,112,4,20,83,0,1,46,104,20,55,373,Stetson,14.085737033932675
Larry Lewis Jr.,3,0,11,6,11,35,6,6,17,0,7,10,30,15,22,130,Hawaii,15.330786481806433
Latin Davis,28,1,39,15,26,73,11,25,54,8,21,27,74,11,15,336,Youngstown St.,13.542407906989078
Latio Cosmos,2,0,1,0,3,0,0,2,1,0,0,0,1,0,0,12,Seattle,-16.888496716719064
Lauri Markkanen,28,12,151,71,61,461,12,34,222,59,133,149,304,104,123,922,Arizona,13.617683472036653
Lavelle Scottie,25,9,64,19,35,127,12,23,83,5,19,44,115,34,53,374,Air Force,22.883876858272384
Lavon Long,72,22,118,58,90,364,28,66,176,13,31,130,247,91,121,911,Siena,32.61216243171778
Lavonne Davis,0,0,17,4,30,15,3,5,21,0,0,5,10,5,9,97,Prairie View A&M,5.75557969607433
Lawrence Cooks,69,1,96,14,63,306,23,45,110,62,153,92,232,60,73,769,Hampton,27.458303478209114
Lawrence White,45,21,84,15,75,195,25,41,99,14,48,70,163,41,69,747,UC Davis,17.909373431991394
Lawson Korita,19,0,38,5,23,79,4,17,43,16,61,25,91,13,15,356,Tulsa,8.095281965776428
Lawson Schaffer,5,0,2,1,1,11,2,1,3,3,5,3,7,2,2,21,Alabama,16.016994864801752
Laytwan Porter,55,6,48,8,66,158,29,58,56,21,55,49,131,39,55,493,Northern Illinois,18.508991830124987
LeSean Brown,2,0,5,0,1,5,1,1,5,0,0,2,4,1,5,27,Air Force,13.958064396031967
Leandro Allende,26,3,58,25,67,164,14,25,83,24,86,56,151,28,45,506,The Citadel,15.68580178043365
Legend Robertin,0,13,8,5,17,10,1,3,13,0,0,4,8,2,12,93,Clemson,12.348797867174506
Leighton Schrand,0,0,0,0,1,3,0,1,0,0,0,0,0,3,4,6,Xavier,17.609787801550592
Leland Green,28,1,63,17,68,169,15,30,80,26,75,63,167,17,31,604,Hawaii,13.58488162377151
Leland King,13,3,45,25,35,102,6,16,70,4,24,41,96,16,25,268,Nevada,22.955697274585216
Leo Edwards,0,3,7,6,9,14,1,2,13,0,0,7,16,0,2,66,Kent St.,14.974866904483829
Leo Goodman,10,2,52,17,49,176,5,24,69,34,121,59,174,24,31,487,Stetson,14.11059755854185
Leo Kontopoulos,1,0,1,0,5,8,0,2,1,0,0,3,8,2,4,28,Southern Methodist,-1.1456196118343414
Leo Vincent,33,1,43,13,38,244,15,41,56,48,138,86,228,24,35,692,Southern Illinois,17.85735233162068
Leon Gilmore III,34,5,86,53,63,256,22,52,139,2,24,97,207,60,91,631,Stephen F. Austin,27.697408599140342
Leon Tolksdorf,10,5,42,10,24,40,4,15,52,7,32,14,44,5,7,256,American U.,10.379086733029895
Leon Williams,3,2,15,11,21,33,3,8,26,0,1,14,38,5,13,129,Florida A&M,9.593365618245887
Leron Black,10,2,115,43,77,220,8,31,158,8,28,87,186,38,50,516,Illinois,4.145368153319112
Lesley Varner Jr.,22,5,33,25,51,100,23,24,58,12,51,35,107,18,26,380,Texas Rio Grande Valley,15.234381143730031
Levi Bradley,23,2,87,27,68,239,12,23,114,14,54,90,224,45,60,627,Northern Illinois,22.885647021878913
Levi Cook,3,10,28,24,39,64,1,18,52,0,0,28,47,8,13,244,DePaul,19.661753902642076
Lew Evans,28,5,51,32,66,97,8,26,83,10,34,26,73,35,51,419,Tennessee,3.4250654110262047
Lew Stallworth,86,3,45,11,55,228,27,58,56,20,66,77,180,54,76,683,Texas Rio Grande Valley,20.119068941857233
Lexus Williams,56,3,56,8,60,163,37,34,64,27,77,60,141,16,25,682,Valparaiso,19.0902004186702
Leyton Hammonds,21,12,105,39,101,235,21,32,144,33,94,83,193,36,43,658,Oklahoma St.,24.435258678186685
Liam O'Reilly,42,8,81,8,50,249,20,40,89,57,155,85,221,22,32,863,Gardner-Webb,16.734642961931993
Liam Thomas,58,107,97,65,85,196,13,55,162,1,7,76,123,43,62,732,Nicholls State,33.91910689389865
Lincoln Conrey,0,0,0,1,0,2,0,0,1,0,1,1,3,0,1,8,Northern Iowa,8.14802879726285
Lincoln Davis,16,2,24,2,30,98,7,15,26,16,37,35,83,12,15,270,Lamar,20.02514654459686
Lindsey Drew,146,28,116,36,81,175,34,56,152,20,51,63,141,29,50,915,Nevada,22.895520037276334
Lindy Waters,18,1,22,16,36,118,14,24,38,18,40,43,83,14,22,333,Oklahoma St.,23.92090080566083
Link Kabadyundi,1,4,16,11,23,22,2,10,27,0,0,6,17,10,19,118,Texas-Arlington,7.921452735064333
Lionheart Leslie,60,2,70,33,89,275,41,49,103,11,55,95,207,74,102,677,Cal St. Fullerton,29.952524910723678
Lis Shoshi,31,35,100,55,72,210,16,34,155,5,22,78,162,49,66,567,Arkansas-Little Rock,36.071804195776124
Lis Shoshi,31,35,100,55,72,210,16,34,155,5,22,78,162,49,66,567,Little Rock,36.071804195776124
Lloyd Burgess,0,0,1,3,5,0,0,3,4,0,0,0,3,0,0,32,NC-Greensboro,-13.72785086811412
Logan Koch,2,0,2,0,5,0,0,3,2,0,2,0,5,0,0,25,Eastern Illinois,-25.61205384903532
Logan McIntosh,119,2,79,14,71,257,29,64,93,13,42,90,221,64,101,866,Maryland - E. Shore,19.962402046839713
Logan McLane,41,15,131,42,63,318,31,46,173,8,37,124,236,62,94,754,Miami (OH),68.17255184474374
Logan Power,4,0,6,1,3,11,0,2,7,2,6,4,8,1,4,47,South Dakota,8.673859112879503
Logan Primerano,57,7,79,19,55,204,20,55,98,15,42,71,161,47,58,672,Massachusetts Lowell,19.376144564759908
Logan Routt,1,2,4,8,6,12,0,2,12,0,0,4,5,4,6,31,West Virginia,45.60349564084227
London Perrantes,114,2,81,10,27,361,21,48,91,57,152,122,297,60,74,932,Virginia,9.549508827841438
Lonnie Rivera,10,4,37,5,32,105,6,22,42,12,28,38,79,17,19,364,American U.,18.043325139315733
Lonzo Ball,227,24,158,30,55,449,58,74,188,68,161,162,291,57,86,1045,UCLA,43.599042133238164
Loren Brill,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,Cal St. Fullerton,172.96122706857656
Loren Jackson,47,0,27,4,46,184,17,37,31,21,61,63,139,37,55,576,Long Beach St.,18.402591663446646
Lorenzen Wright Jr.,5,0,13,2,37,103,6,19,15,29,81,33,96,8,13,346,Robert Morris,8.543555358607767
Lorenzo Bonam,82,10,74,15,54,334,38,55,89,25,70,120,210,69,83,808,Utah,8.813330872896001
Lorenzo Edwards,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,4,St. Joseph's,-5.6410229525173425e-15
Lorenzo Hunt,3,1,14,2,14,19,0,1,16,1,5,6,22,6,16,103,Mississippi Valley State,4.3030058107480915
Lou Griffith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bradley,0.0
Louie Pillari,7,4,14,8,14,78,2,9,22,9,25,25,61,19,28,203,Monmouth-NJ,21.681532202733305
Louis Adams,24,5,51,7,42,186,11,34,58,11,33,55,129,65,83,366,Wyoming,26.760053851207427
Lourawls Nairn Jr,110,3,73,3,51,115,15,35,76,11,30,45,99,14,26,701,Michigan St,17.05941588518069
Lovell Cabbil,48,5,79,8,66,248,35,37,87,33,98,84,196,47,58,761,Liberty,25.120953458728565
Lucas Antunez,9,0,4,1,15,5,1,8,5,0,4,0,9,5,6,77,Toledo,-7.968676945279543
Lucas Campbell,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,5,Tennessee,12.044898041580332
Lucas Jones,0,0,1,1,2,0,0,0,2,0,0,0,1,0,0,9,Eastern Illinois,-2.9459325251731667
Lucas N'Guessan,6,13,23,18,68,56,6,20,41,0,0,25,39,6,16,220,Oklahoma St.,15.275091819526045
Lucas O'Brien,10,10,81,47,64,195,1,16,128,24,77,69,157,33,43,547,Texas-San Antonio,27.000517669488893
Lucas Siewert,12,3,33,22,24,78,4,12,55,16,39,27,77,8,12,307,Colorado,6.12579892996656
Lucas Woodhouse,155,0,89,12,50,444,34,58,101,63,139,139,304,103,115,952,Stony Brook,40.69750864536731
Lucian Brownlee,10,0,18,3,13,109,7,20,21,27,68,38,92,6,10,303,Coppin St.,17.892898743436096
Luis Santos,4,23,66,49,58,168,14,33,115,0,1,66,124,36,51,476,South Florida,29.303869229363393
