,PLAYER,TEAM,YEAR,PER
404,Bruno Skokna,Loyola-Chicago,2017-2018,12.160596493126725
405,Bryan Alberts,Long Beach St.,2017-2018,19.624719804010194
406,Bryan Gellineau,Norfolk State,2017-2018,18.91128192654614
407,Bryan Knapp,Cornell,2017-2018,10.944603392325247
408,Bryan Sekunda,Stony Brook,2017-2018,16.94999166124316
409,Bryan Trimble Jr.,St. John's,2017-2018,12.926332566832402
410,Bryant Crawford,Wake Forest,2017-2018,25.868591252638918
411,Bryant McIntosh,Northwestern,2017-2018,10.14545131411012
412,Bryce Barnes,Wis.-Milwaukee,2017-2018,13.782241796070782
413,Bryce Brown,Auburn,2017-2018,22.38018591662275
414,Bryce Canda,Portland St.,2017-2018,24.505912235289973
415,Bryce Dulin,Navy,2017-2018,22.089072124867076
416,Bryce Fowler,Sacramento State,2017-2018,12.75778790239586
417,Bryce Moore,Western Michigan,2017-2018,23.415971876886186
418,Bryce Moragne,Florida A&M,2017-2018,25.029052868827065
419,Bryce Nze,Wis.-Milwaukee,2017-2018,25.61791429819947
420,Bryce Washington,UL Lafayette,2017-2018,31.1086513678548
421,Bryson Lockley,Kennesaw St.,2017-2018,17.971310465320446
422,Bryson Robinson,New Orleans,2017-2018,17.553791764229395
423,Bryson Scott,IUPU - Ft. Wayne,2017-2018,32.01703170042296
424,Bryson Williams,Fresno St.,2017-2018,21.49936630826791
425,Bubba Furlong,Sam Houston St.,2017-2018,8.413640006443545
426,Bubba Parham,VMI,2017-2018,20.50214516838613
427,Bul Ajang,Tulane,2017-2018,14.262276105704426
428,Burton Sampson,Belmont,2017-2018,7.523164800064886
429,Byron Frohnen,Texas-San Antonio,2017-2018,23.78812505189913
430,Byron Hawkins,Murray St.,2017-2018,10.46612397069327
431,C.J. Anderson,Massachusetts,2017-2018,8.820992039311657
432,C.J. Burks,Marshall,2017-2018,17.58637322313033
433,C.J. Duff,Western Illinois,2017-2018,19.335649687665057
434,C.J. Jackson,Ohio St.,2017-2018,26.380926002925854
435,C.J. Jones,Arkansas,2017-2018,3.6381062592940268
436,C.J. Jones,Northwestern St.,2017-2018,14.749696021828973
437,C.J. Keyser,Wichita St.,2017-2018,17.356218229164945
438,C.J. Massinburg,Buffalo,2017-2018,28.429179525530298
439,C.J. Rivers,Drake,2017-2018,24.960740549742066
440,C.J. Seaforth,Iona,2017-2018,11.316335137025266
441,C.J. Wiggins,North Carolina Central,2017-2018,20.026671322616934
442,CJ Siples,Air Force,2017-2018,13.544526554444156
443,CJ Walker,Florida State,2017-2018,18.763187148604977
